airp_iata_code,name,img_url,img_name,owm_city_code,owm_name
IST,Istanbul,https://edinburghairport.s3.amazonaws.com/files/2017/06/07935ae3dbd8dcac70a15418687129c4.jpg,istanbul,745044,Istanbul
JER,Jersey,https://edinburghairport.s3.amazonaws.com/files/2017/06/ce38b8ab7696bef6bf7facc65a7c0e62.jpg,jersey,745044,Istanbul
FKB,Karlsruhe/Baden-Baden,https://edinburghairport.s3.amazonaws.com/files/2017/06/6833e19e394ef0ee8123b6e3adbeefd7.jpg,karlsruhe/baden-baden,745044,Istanbul
KTW,Katowice,https://edinburghairport.s3.amazonaws.com/files/2017/06/f7549d55ff2f8149b5febfe9b7a00313.jpg,katowice,3096472,Katowice
KUN,Kaunas,https://edinburghairport.s3.amazonaws.com/files/2017/06/e7608971528ce5ddca9b3b5b47c5d84c.jpg,kaunas,598316,Kaunas
EFL,Kefalonia,https://edinburghairport.s3.amazonaws.com/files/2017/06/5ff1af6cd3743839a083637fbf7cfac3.jpg,kefalonia,7290409,Kefalonia
KOI,Kirkwall,https://edinburghairport.s3.amazonaws.com/files/2017/06/829ce0e02ead64e5943366ad8bcfd737.jpg,kirkwall,2645198,Kirkwall
KGS,Kos,https://edinburghairport.s3.amazonaws.com/files/2017/06/9981c9d9595257f919decb98f5d5bbea.jpg,kos,259245,Kos
KRK,Krakow,https://edinburghairport.s3.amazonaws.com/files/2017/06/0b4dee921c2a4c251a67dcb2aec1be6a.jpg,krakow,3094802,Krakow
ACE,Lanzarote,https://edinburghairport.s3.amazonaws.com/files/2017/06/d8a4bf26d0d5f3ab4950cdc2ee09bdd4.jpg,lanzarote,3094802,Krakow
LCA,Larnaca (Cyprus),https://edinburghairport.s3.amazonaws.com/files/2017/06/2d63ce15da9b3d412d410427302b52df.jpg,larnaca (cyprus),3094802,Krakow
LIS,Lisbon,https://edinburghairport.s3.amazonaws.com/files/2017/06/619c8fc6aa6aed32d28c06011911ba38.jpg,lisbon,5160951,Lisbon
LCY,London City,https://edinburghairport.s3.amazonaws.com/files/2017/06/471afd60410f25236588adbfb5d9071c.jpg,london city,5160951,Lisbon
LGW,London Gatwick,https://edinburghairport.s3.amazonaws.com/files/2017/06/736d48f502db6e9015b825fcff139b55.jpg,london gatwick,5160951,Lisbon
LHR,London Heathrow,https://edinburghairport.s3.amazonaws.com/files/2017/06/736fd7f2bab2c3f9d3852dd09c0e9b49.jpg,london heathrow,5160951,Lisbon
LTN,London Luton,https://edinburghairport.s3.amazonaws.com/files/2017/06/66f9e19d0b039207a778357696cad221.jpg,london luton,5160951,Lisbon
STN,London Stansted,https://edinburghairport.s3.amazonaws.com/files/2017/06/2fa5fcd2b7434a8d6ce7dbfa62a98b43.jpg,london stansted,5160951,Lisbon
LYS,Lyon,https://edinburghairport.s3.amazonaws.com/files/2017/06/e25d1aed1d7c0dab6e919bf33768af81.jpg,lyon,2996944,Lyon
FNC,Madeira,https://edinburghairport.s3.amazonaws.com/files/2017/06/f4a4499421c6a43c262f10e82f540fad.jpg,madeira,4517353,Madeira
MAD,Madrid,https://edinburghairport.s3.amazonaws.com/files/2017/06/b0fcd54eb2a48caad487443766007a28.jpg,madrid,4865871,Madrid
AGP,Malaga,https://edinburghairport.s3.amazonaws.com/files/2017/06/7b8640d397278d0fd59ee28666163b60.jpg,malaga,1703269,Malaga
MLA,Malta,https://edinburghairport.s3.amazonaws.com/files/2017/06/c7a8bbfcc39d4129b0191439d54fc31e.jpg,malta,5664486,Malta
MAN,Manchester,https://edinburghairport.s3.amazonaws.com/files/2017/05/2fc942691a1966a4431bb9bc145bcaae.jpg,manchester,5802247,Manchester
MRS,Marseille,https://edinburghairport.s3.amazonaws.com/files/2017/06/1b06e35cf4b4af1ef0ede567b926f60b.jpg,marseille,2995469,Marseille
FMM,Memmingen,https://edinburghairport.s3.amazonaws.com/files/2018/03/ab9855316a76240a3a5810ac18d831e5.jpg,memmingen,2871992,Memmingen
MAH,Menorca,https://edinburghairport.s3.amazonaws.com/files/2017/06/b18ee87f31fe8907f2abf28d5161fa97.jpg,menorca,2871992,Memmingen
BGY,Milan Bergamo,https://edinburghairport.s3.amazonaws.com/files/2017/06/9f83e0b6735720cb9ab6456a3fbbc668.jpg,milan bergamo,2871992,Memmingen
MXP,Milan Malpensa,https://edinburghairport.s3.amazonaws.com/files/2017/06/67cc160be2896076705f80a9db999007.jpg,milan malpensa,2871992,Memmingen
MUC,Munich,https://edinburghairport.s3.amazonaws.com/files/2017/06/507f230c622bcfa6b5ed8462476b8fdd.jpg,munich,2871992,Memmingen
MJV,Murcia,https://edinburghairport.s3.amazonaws.com/files/2017/06/1bf6eab5fb03424fc4c39d09a2d4e126.jpg,murcia,1699059,Murcia
NTE,Nantes,https://edinburghairport.s3.amazonaws.com/files/2017/06/e679e68f73e8ce86d88f7ca294b41b55.jpg,nantes,2990969,Nantes
NAP,Naples,https://edinburghairport.s3.amazonaws.com/files/2017/06/919a68faa49f7b0718d6d80204a81ed8.jpg,naples,5778807,Naples
JFK,New York JFK,https://edinburghairport.s3.amazonaws.com/files/2017/06/3052362444199156ed736f02abef1282.jpg,new york jfk,5778807,Naples
EWR,New York Newark,https://edinburghairport.s3.amazonaws.com/files/2017/06/a62c337455346e4ea008285499efce4e.jpg,new york newark,5778807,Naples
SWF,New York Stewart,https://edinburghairport.s3.amazonaws.com/files/2017/06/f1b207aa10e01664cc7337bfdf351345.jpg,new york stewart,5778807,Naples
NQY,Newquay,https://edinburghairport.s3.amazonaws.com/files/2017/05/9858b369e0681e61af77229fc92104f8.jpg,newquay,2641589,Newquay
NCE,Nice,https://edinburghairport.s3.amazonaws.com/files/2017/07/ac2f0666a44fb69f5e40b8147eb5d8ba.jpg,nice,5376959,Nice
WI ,Norwich,https://edinburghairport.s3.amazonaws.com/files/2017/05/5fc2fdc6b97e9e5fb413315a3ea5dcdf.jpg,norwich,5129359,Norwich
SFB,Orlando Sanford,https://edinburghairport.s3.amazonaws.com/files/2017/06/1be89b7717757ea15f2b4da88026f15c.jpg,orlando sanford,5129359,Norwich
